Column1,tweet_dt,id,username,name,tweet,like_count,reply_count,retweet_count,retweeted,sentiment_true,emotion_true
11,13/08/2021,1.43E+18,MvdfAverdieck,Martin Averdieck,Building a tesla tower?or keep using wef nwo technologie,0,0,0,FALSE,neutral ,neutral 
12,13/08/2021,1.43E+18,Doctor_of_Music,Mike Coe,You haven't answered my question - are y…,0,0,0,FALSE,negative,anger
13,13/08/2021,1.43E+18,hyper_drive,Bloomberg Hyperdrive,Merkel’s would-be successor is trying to burnish his credentials by meeting Elon Musk and visiting Tesla's new fact…,0,0,0,FALSE,negative,anger
14,13/08/2021,1.43E+18,mrlongisland,Mr. Long Island,"Make it a complete set...Tesla panels, PowerWall and EV charger! Call me: 631-260-7598.",0,0,0,FALSE,positive,joy
15,13/08/2021,1.43E+18,hatepicksfan24,hatepicks,follow carlos on tesla social,0,0,0,FALSE,positive,joy
16,13/08/2021,1.43E+18,MyTsla,Luv my TSLA,"If you're saying his influence helps Tesla raise cash, he'd still…",1,0,0,FALSE,negative,anger
17,13/08/2021,1.43E+18,Lunnaris01,Lunnaris01,Tesla has some of the most advanced software for emergency breaking to protect pedes…,0,0,0,FALSE,positive,joy
18,13/08/2021,1.43E+18,whitewolf359,?????????? ?? #CoulsonLives,If the car companies want that route they ca…,0,0,0,FALSE,neutral ,neutral 
19,13/08/2021,1.43E+18,Silky1776,Matt Silcox,"Wrong on Tesla, but not wrong that Musk makes claims and predictions about Tesla that…",0,0,0,FALSE,positive,joy
20,13/08/2021,1.43E+18,JonBryant421,Jon Bryant,"Still, seems dumb. I am generally favorable to MW but this is missing the point entirely. Some have go…",0,0,0,FALSE,negative,sadness
21,13/08/2021,1.43E+18,fauxniuz,Mauren,If you support tesla you aint a patriot. I dont make the rules,0,0,0,FALSE,negative,anger
22,13/08/2021,1.43E+18,thomasbihn,Thomas Bihn,But they like to also cite the chip shortage limiting Tesla production as a huge negative like it is…,0,0,0,FALSE,negative,anger
23,13/08/2021,1.43E+18,DavidMyersATX,David Myers,Wrong.  will recognize  when it becomes a union shop.,0,0,0,FALSE,negative,neutral 
24,13/08/2021,1.43E+18,richjones52,Richard Jones,They’ve been around over sixty years still waiting?,0,0,0,FALSE,negative,anger
25,13/08/2021,1.43E+18,Thewormking1,GOLDIE??LOCKS #ENGLAND Let's 'ALL' Unite ??,"Not one bit was invented in the time that is stated??
It is all old world tech that they keep hidden only t…",0,0,0,FALSE,negative,anger
26,13/08/2021,1.43E+18,StockMarketTSLA,Tesla Stock News & Info,"""Not Model Y"" ??

#Tesla",1,0,0,FALSE,positive,joy
27,13/08/2021,1.43E+18,ddjw123,Dalton DJ Williams,The only reason I want to own a Tesla is so I can change the horn to La Cuchracha and go through a Taco Bell drive through,0,0,0,FALSE,negative,anger
28,13/08/2021,1.43E+18,PMANeng,Paul Manley,"Any? That’s quite a bold statement. Looks, ride quality and…",0,0,0,FALSE,neutral ,neutral 
29,13/08/2021,1.43E+18,smarket,Deepak Singh,"When a stock makes a vertical spike, then it underperforms for a long period of time. The stocks take rest after su…",1,0,0,FALSE,neutral ,neutral 
30,13/08/2021,1.43E+18,Avvexd,Avve,The guy you replied to is obviously shilling really…,0,0,0,FALSE,neutral,neutral
31,13/08/2021,1.43E+18,jacopoalberto,Jacopo Alberto Giorgino,I love the clarity of this man,0,0,0,FALSE,positive,neutral
32,13/08/2021,1.43E+18,pedalandpostCB,Christopher Benton,"Just passed a Tesla stuck in congestion on our eCargo bike making deliveries 

This does…",0,0,0,FALSE,negative,joy
33,13/08/2021,1.43E+18,DrThavundayil,Dr.Joseph Xavier Thavundayil,Tesla is the safest car available. For affordability cheaper models are being introduced.…,0,0,0,FALSE,positive,neutral
34,13/08/2021,1.43E+18,hempcityglass,Hemp City Glass,"Check out this product ?? High Voltage Tesla Glass Tray ?? 
by Hemp City Glass starting at $13.98. 
Shop now ????…",0,0,0,FALSE,positive,joy
35,13/08/2021,1.43E+18,PuggoWasTaken,Yo,Your tesla gets more content than OW.,0,0,0,FALSE,positive,neutral
36,13/08/2021,1.43E+18,financelygroup,Financely,"Tesla, Re|Source to launch final pilot in DRC to trace cobalt from mine to EVs: Blockchain-based program program is…",0,0,0,FALSE,positive,neutral
37,13/08/2021,1.43E+18,Reboticant,Reboticon,The idea that going full EV accomplishes much of anything towards decarboniz…,4,0,0,FALSE,positive,joy
38,13/08/2021,1.43E+18,909kishore,Kishore,"Not Model Y

#tesla",0,0,0,FALSE,neutral,neutral
39,13/08/2021,1.43E+18,justtradin,Jake Tiley,Tesla at 800B market cap and makes no profit ..its a zombie market pre apocalyse ...#LetHerRip,1,0,0,FALSE,negative,neutral
40,13/08/2021,1.43E+18,socaljohnmyer,Ed Kravitz,Coolness factor depleted- Miley Cyrus.,0,0,0,FALSE,neutral,surprise
41,13/08/2021,1.43E+18,Peter11448727,Peter,We are ready for tesla #Elonmusk accepted #doge,0,0,0,FALSE,positive,joy
42,13/08/2021,1.43E+18,benklayman,Ben Klayman,Tesla's Musk hopes to make first cars at Berlin plant in Oct,0,0,0,FALSE,positive,love
43,13/08/2021,1.43E+18,ashfield_lee,bottom Gear Bot,"Now, amidst Inside Gear, Jeremy finds 4 Congolese extremists, Richard fucking gets fucking syria'd by a 978 BC came…",0,0,0,FALSE,negative,anger
44,13/08/2021,1.43E+18,KScons,"Klaus Schäfer, KS-Consulting","that’s a chance to get a piece of cake, germanys Infrastructures support distributed for 1.000 high speed…",0,0,0,FALSE,positive,neutral
45,13/08/2021,1.43E+18,IdeasPrime,Prime Trader,"Tesla | $TSLA

TSLA: Pattern Above The Pattern - Time To Buy Again

Long or short it with BTC on Trade8:…",0,0,0,FALSE,neutral,neutral
46,13/08/2021,1.43E+18,CommissariSalvo,Insp Montalbano,If the comments on this thread indicate the intelligence of the average “Tesla driver” the…,0,0,0,FALSE,neutral,neutral
47,13/08/2021,1.43E+18,TesFanMitch,TesFanMitch,"I've learned over the years, in many cases, today unions are hampering so…",0,0,0,FALSE,neutral,neutral
48,13/08/2021,1.43E+18,Milhooz,Julien K,I believe Giga Shanghai has switched to local market production now and we might not see anot…,1,0,0,FALSE,neutral,neutral
49,13/08/2021,1.43E+18,tyfson,Tighe Johnson,so when ya making the Tesla speed boat? Or yacht?,0,0,0,FALSE,negative,joy
50,13/08/2021,1.43E+18,SUNationSolar,SUNation Solar,Get a Tesla EV Charger from SUNation today and qualify for a $500 rebate from PSEG. Contact us today to get started…,1,0,0,FALSE,positive,neutral
51,13/08/2021,1.43E+18,JustinAglio,"Justin Aglio, Ed.D.",Want to learn how   and Alexa use #AI technology? Visit  and apply to our…,0,0,0,FALSE,neutral,neutral
52,13/08/2021,1.43E+18,TheDonaldMusk,The Donald musk,"These are the kinds of people that say they are all about the ""mission"" but constantly shit on other EVs…",1,0,0,FALSE,negative,anger
53,13/08/2021,1.43E+18,gordonschuecker,The Passenger,has obviously followed t…,0,0,0,FALSE,neutral,neutral
54,13/08/2021,1.43E+18,LucWaterlot,? LUC ????RLOT ? ????,"It will be a colorful weekend...
And not only on the roads...
Still loading trains and trucks 
#tesla #model3…",2,0,0,FALSE,positive,joy
55,13/08/2021,1.43E+18,dogecoin4tesla,Dogecoin for Tesla,"Currently, 1 $DOGE = $0.277330.

At this rate, a #Tesla #Cybertruck costs:
• Single Motor RWD: 143,872 ?
• Dual Mot…",0,0,0,FALSE,neutral,neutral
56,13/08/2021,1.43E+18,ev_truths,EVTruths,Honestly #Tesla should have a yoke option for #Model3,1,0,0,FALSE,negative,sadness
57,13/08/2021,1.43E+18,RuetaDavid,David Rueta,It is going to the moon be ready for the ride ??,0,0,0,FALSE,positive,joy
58,13/08/2021,1.43E+18,BBY3ONJUN,Tannie? ia?? MISSES YJ,Hey ?? *leans on tesla*,0,0,0,FALSE,positive,love
59,13/08/2021,1.43E+18,MahadevNaik333,Mahadev Naik,When in India,0,0,0,FALSE,neutral,neutral
60,13/08/2021,1.43E+18,evannex_com,EVANNEX for Tesla Community,Could it be that sales of traditional gas-powered cars have hit their peak? It's all downhill from here for fossil…,2,0,0,FALSE,positive,joy
61,13/08/2021,1.43E+18,benklayman,Ben Klayman,Would-be Merkel successor Laschet to meet Tesla's Musk on Friday,0,0,0,FALSE,positive,joy
62,13/08/2021,1.43E+18,BillsfanLife,FrankLucas,Never forget that price targets don’t mean a fkn thing. If you believe in the leadership and future o…,1,0,0,FALSE,negative,anger
63,13/08/2021,1.43E+18,on_tesla,On Tesla,Not sure how you’d ever have a valet park your car without giving…,0,0,0,FALSE,neutral,neutral
64,13/08/2021,1.43E+18,MyTsla,Luv my TSLA,"He won't leave, he'll just become Chairman of Board.  

Even if h…",1,0,0,FALSE,positive,joy
65,13/08/2021,1.43E+18,teamcmcbot,RoyalePros (Team CMC Bot),". has won grand challenge on 13/08/2021 20:59:12 SGT [Dark Prince,Fire Spirit,Skeletons,Tesla,Goblin Dril…",1,0,0,FALSE,positive,joy
66,13/08/2021,1.43E+18,PlutoCR_,Pluto I ????,Predict Royale ?? ok every Tesla Player place it there ??,0,0,0,FALSE,negative,sadness
67,13/08/2021,1.43E+18,TheArticleTrunk,TheArticleTrunk,"Tesla says Tesla Semi electric truck’s weight is on point, and that’s crucial",0,0,0,FALSE,positive,joy
68,13/08/2021,1.43E+18,whatthepeanut,Dopinghustler,How much is Tesla paying for those tweets,0,0,0,FALSE,negative,anger
69,13/08/2021,1.43E+18,Utopaline,x Utopaline x,how are you not suing Facebook and these other companies for this? Every ad on my…,0,0,0,FALSE,negative,anger
70,13/08/2021,1.43E+18,Tesla__nikola,peow,LOLLLL aqqqqq,1,0,0,FALSE,positive,joy
71,13/08/2021,1.43E+18,gerardo_you,Gerardo No See You,Good luck with this whole 50% of all cars going EV when we can't get reliable power for days.  50% of the people ar…,1,0,0,FALSE,negative,anger
72,13/08/2021,1.43E+18,betincrypto,Bet In Crypto,"Elon Musk Says Tesla Will Resume Accepting Bitcoin When Miners Confirm 50% Clean Energy Usage

Toplist Crypto Casin…",0,0,0,FALSE,positive,joy
73,13/08/2021,1.43E+18,0xa0000,mr. robot,*) not in english,0,0,0,FALSE,neutral,neutral
74,13/08/2021,1.43E+18,richtalkskicks,Richard H,I like your choice of car names ??,0,0,0,FALSE,positive,joy
75,13/08/2021,1.43E+18,DineshCyanam,Dinesh Cyanam,That PW has redeemed itself in just a few months. Glad you are doing ok. We luckily ha…,0,0,0,FALSE,positive,joy
76,13/08/2021,1.43E+18,evfinancepow,EVfinance,"""In order to have clean air in cities, you have to go electric."" - Elon Musk

For more visit…",0,0,0,FALSE,positive,joy
77,13/08/2021,1.43E+18,TeslaHourly,Tesla Price Hourly,Current #Tesla Price: $722.49 ?? ?????,0,0,0,FALSE,negative,surprise
78,13/08/2021,1.43E+18,StargazerPlaid,Stargazer!!,Thank you!!!  I am huge red fan.,0,0,0,FALSE,positive,love
79,13/08/2021,1.43E+18,im_neeraj1999,Neeraj Vishwakarma,"when petrol runs out of petrol in petrol vehicles, we fill it from petrol pump, but what will we do when…",0,0,0,FALSE,neutral,neutral
80,13/08/2021,1.43E+18,KevinKhanal,Kevin,"Main Watch (08-13):

$AAPL - Bounce 148-148.50 area
$TSLA - Bounce 720 area
$MRNA - Break of 406

#tesla #tsla…",0,0,0,FALSE,neutral,neutral
81,13/08/2021,1.43E+18,tsmarthinsen,trondminator,convinced! ??,0,0,0,FALSE,positive,joy
82,13/08/2021,1.43E+18,28delayslater,??Earl of Frunkpuppy??,Fantastic,1,0,0,FALSE,positive,joy
83,13/08/2021,1.43E+18,MarcusMyles10x,ExponentialGains.com,"avoid imaginary, and ignore the real dangers. And what is true of an individual also applies, more or less, to a pe…",0,0,0,FALSE,negative,anger
84,13/08/2021,1.43E+18,dorsetphoto_JLP,James Loveridge,Such irony when Tesla lives in his head rent-free and he spends all day argui…,2,0,0,FALSE,negative ,surprise
85,13/08/2021,1.43E+18,HR_Socialite,Socialite,The prettiest Plai…,1,0,0,FALSE,positive,joy
86,13/08/2021,1.43E+18,PocketOutOfTime,A Pocket Out Of Time,If you were ever wondering why  wasn’t invited by the administration for th…,0,0,0,FALSE,negative,surprise
87,13/08/2021,1.43E+18,ByWhatMeasure,its me T,"Look at him holding the prototype for the Giga casting approach for us all to see, so long ago.",0,0,0,FALSE,positive,neutral
88,13/08/2021,1.43E+18,houseopaul,Kofie Paul,Chinese Tesla rival Nio narrows losses as revenue surges 127%,0,0,0,FALSE,neutral,neutral
89,13/08/2021,1.43E+18,_itsme_Brittany,Just Being Brittany,I swear everybody has a Tesla now,0,0,0,FALSE,positive,joy
90,13/08/2021,1.43E+18,RidgerWolf,Ridger Wolf,But where are you getting the hydrogen from? And you still have to du…,0,0,0,FALSE,neutral,neutral
91,13/08/2021,1.43E+18,andendall,Patrick M Andendall,"Not only has Tesla and Musk allowed me to drive a stunning product, but now — being Gluten averse- i can have a pro…",0,0,0,FALSE,positive,joy
92,13/08/2021,1.43E+18,ElonmuA,EloMu nft art,"You buy my nft, i buy your Tesla ????",0,0,0,FALSE,positive,joy
93,13/08/2021,1.43E+18,NewFolderF,NewFolderF,Agreed again. I feel like people think I'm def…,0,0,0,FALSE,positive,joy
94,13/08/2021,1.43E+18,Shailes80645679,Shailesh,This Advertisement really gives off Tesla vibes,1,0,0,FALSE,positive,joy
95,13/08/2021,1.43E+18,RBullotta,??????,"He is ignoring the primary ""why"" though - that you can ""refuel"" or ""recharge"" in…",0,0,0,FALSE,negative,fear
96,13/08/2021,1.43E+18,BOBINSOFLA_007,Slide By Sully™? ????,"A yoke stereing wheel? 
Well now it’s official. Tesla is the most expensive golf cart you can buy.",0,0,0,FALSE,neutral,neutral
97,13/08/2021,1.43E+18,Md_Asif_Ali_,Md. Asif Ali,The Tesla-fication of Moderna Is a Rich Tale,0,0,0,FALSE,negative ,anger
98,13/08/2021,1.43E+18,OMHoldingsInc,"OM Holdings International, INC","OMHI ""Another #OneMart store slated to open this December adding another Amazing Revenue Stream for OM Holdings Int…",1,0,1,FALSE,positive,joy
99,13/08/2021,1.43E+18,ShortNon,SHORTNON (BITCOIN MAXI CYBERHORNET BROKER PLEB),"Proposed next German Bundeskantzler simping over 

Elon proposed here to change some legislation towards…",1,0,0,FALSE,neutral,neutral
100,13/08/2021,1.43E+18,christoph_leitl,Christoph Leitl,"Better questions:
Dear Mr Musk, what is the future of ...

""sustainable transportation""
""sust…",0,0,0,FALSE,neutral,neutral
101,13/08/2021,1.43E+18,LuckyWillyV2,William Zhang,"retweet and follow to win with me on my twitter giveaway journey!
""Our virtues and our failings are inseparable, li…",0,0,1,FALSE,positive,joy
102,13/08/2021,1.43E+18,KarmaNorbu18,Karma Norbu,any news on Tesla $25k car coming to Bhutan la?,0,0,0,FALSE,positive,joy
103,13/08/2021,1.43E+18,VoltaicEV,Voltaic EV,"Hi, happy Friday everyone. I know it's the 13th, but to get things rolling with Twitter I thought I'd offer up a…",2,0,2,FALSE,positive,joy
104,13/08/2021,1.43E+18,CyclAdeleC,Adele Craven,Electric motor. Battery.  Also fuel cell and hydrogen tank.  Both o…,0,0,0,FALSE,neutral,neutral
105,13/08/2021,1.43E+18,StianWalgermo,Walgermo ????,"Model Y for EU has updated WLTP range at 507 km. Up from 505 km ??

I have postponed my delivery to MiG with…",0,0,0,FALSE,neutral,neutral
106,13/08/2021,1.43E+18,Teslanews10,TeslaNews,Tesla driving test hell: How DMV examiners’ biases are inhibiting the EV transition,2,0,0,FALSE,negative,anger
107,13/08/2021,1.43E+18,StargazerPlaid,Stargazer!!,Plaid Puppy!!  Lord Byron approves!!  #frunkpuppyfriday    #tesla #plaid #models…,12,0,2,FALSE,positive,joy
108,13/08/2021,1.43E+18,Tesla_Nicole91,Tesla Kanning Howell,I’ll never understand how fertility works…,0,0,0,FALSE,negative,anger
109,13/08/2021,1.43E+18,MP_Investing,MP Investing,"Along with $TSLA, I am heavily invested in $LCID. I was lucky enough to check out their showroom in Scottsdale the…",0,0,0,FALSE,positive,joy
110,13/08/2021,1.43E+18,JonathanGuito,Jonathan 50% CAGR to Mars ???????,"Hell yeah buddy! ?? of all Tesla vehicles, nothing excites me more than the Roadster. Life goal of mine to own one!",0,0,0,FALSE,positive,joy
111,13/08/2021,1.43E+18,MvunaboF,frank646464,what about africa,0,0,0,FALSE,neutral ,neutral 
112,13/08/2021,1.43E+18,prexer,prexer,Will I be able to quick charge at Tesla chargers? They seem to have the only week maintained network of chargers so far,0,0,0,FALSE,negative,fear
113,13/08/2021,1.43E+18,BURNERA56462776,BURNER ACC,NO WAY!? Pawn a brand new Tesla on FACEBOOK MARKETPLACE!? LIMITED TIME ONLY!!,0,0,0,FALSE,positive,surprise
114,13/08/2021,1.43E+18,RWMann,"Robert W. Mann, Jr.",It’s as if buying and quickly selling a Tesla is just a non-transferable tax avoidance play…,0,0,0,FALSE,negative,anger
115,13/08/2021,1.43E+18,Jzaafarani,Joseph Zaafarani,June 3rd. First time owner of a tesla. Also East coast.,0,0,0,FALSE,positive,joy
116,13/08/2021,1.43E+18,TeslaMOD3L,Tesla MOD3L,These new startups would be better off consulting with Tesla first on building an…,0,0,0,FALSE,positive,joy
117,13/08/2021,1.43E+18,Demetri09536950,Demetrius Martin,I don’t agree didn’t he say he was going to make it to where Tesla ca…,0,0,0,FALSE,negative,anger
118,13/08/2021,1.43E+18,MichaelTosic,Mihailo-Michael Tosic,"I this white house, on a stormy night in 1856, the great Nikola Tesla was born. ????",0,0,0,FALSE,positive,surprise
119,13/08/2021,1.43E+18,Lil_Mikee__,??&??,You could’ve threw that Tesla lob to the timeline I wish I would’ve seen it ????,0,0,0,FALSE,negative,sadness
120,13/08/2021,1.43E+18,upser2004,Phillip Raymond,Those hydrogen tanks are built to withstand forces you wouldn't believe. Every major tesla crash tha…,0,0,0,FALSE,positive,joy
121,13/08/2021,1.43E+18,arshadsemp,Arshad (BEERA),Cap i don't know why everytime I look at dhl livery i feel its an old jet no matter what time they induct…,0,0,0,FALSE,positive,surprise
122,13/08/2021,1.43E+18,slhelme,Sara Helme,I love #Tesla sense of humour #NotAModelY ????,0,0,0,FALSE,positive,love
123,13/08/2021,1.43E+18,HeardAtE3,Overheard At E3,Always wanted to enjoy friendly fire through intricate Tesla guns? Our groovy heat maps made it possible.,0,0,0,FALSE,positive,joy
124,13/08/2021,1.43E+18,Lipsytee,Lipsyte,Dude is out there tweeting about Tesla every chance he gets to throw shade an…,2,0,1,FALSE,negative,anger
125,13/08/2021,1.43E+18,TrendTrader007,7,$tsla do you guys even realize that Tesla only has to go 24.6% to head $900 a share and 38% to hit thousand dollars…,4,0,0,FALSE,positive,surprise
126,13/08/2021,1.43E+18,MB_3213,Money boy,I blame  lol. CEO of $f hurting this morning,1,0,0,FALSE,positive,joy
127,13/08/2021,1.43E+18,Commuternyc,Commentator,Hmm Tesla has no moat and yeah 370 is an absurd value given that the mean PE for the S&amp;P is 15.9. F…,0,0,0,FALSE,negative,anger
128,13/08/2021,1.43E+18,pauljauregui,Paul J ??,My  Model S #AP2 Autowipers have been in Beta for 4YRS. SMH,1,0,0,FALSE,neutral,neutral
129,13/08/2021,1.43E+18,roughroadface51,roughroadface,"When your boss has a Tesla and a Porsche, but your factory's roof have a hole that is being repaired....slooowly, cuz of the budget.",1,0,0,FALSE,positive,joy
130,13/08/2021,1.43E+18,adscovery,Aditya,Tesla starts giving back Supercharger access to salvaged vehicles,0,0,0,FALSE,positive,joy
131,13/08/2021,1.43E+18,Mohamma07998800,Mohammadamin,"Buy ivg tokens ????
You are listed in 4 categories
And it is going to be listed in oth…",0,0,0,FALSE,neutral,neutral
132,13/08/2021,1.43E+18,olympicsgo,OlympicsgoIND,Why do we need Tesla for future and benefits? Unlike…,0,0,0,FALSE,positive,joy
133,13/08/2021,1.43E+18,GabiZurah,Gabby,"I feel like there are missing pieces in this puzzle. 

The hydrogen process looks…",0,0,0,FALSE,negative,fear
134,13/08/2021,1.43E+18,MICKYIMP,micky,Buy a Microsoft soft stock or Tesla if you take an L lol,0,0,0,FALSE,neutral,neutral
135,13/08/2021,1.43E+18,Shashibasniwal,Shashikant basniwal????,Tesla is the synonym of ev .,0,0,0,FALSE,positive,joy
136,13/08/2021,1.43E+18,McMillanLawyer,McMillan Law Group,"Tesla Burns Down in the Garage, Auto Manufacturers Are Taking it Seriously



#lemon #legal…",0,0,1,FALSE,neutral,neutral
137,13/08/2021,1.43E+18,teach_beard,Edward_Teach's_Smoking_Beard,"I don't think you can apply common definitions to stocks like  Bull, bear, correction...none of those really apply.",0,0,0,FALSE,neutral,neutral
138,13/08/2021,1.43E+18,motionadven,Okedi Peter John,Tesla to accept Bitcoin again… when it uses more green energy,0,0,0,FALSE,positive,joy
139,13/08/2021,1.43E+18,incelsforelon,Tesla Owners San Salvador Valley,Moderna’s stock has been rising only due to outrageous volumes of weekly call option buyi…,1,0,0,FALSE,negative,anger
140,13/08/2021,1.43E+18,PeterD14659580,PeterD,Thank you,0,0,0,FALSE,positive,love
141,13/08/2021,1.43E+18,Mohamma07998800,Mohammadamin,"Buy ivg tokens ????
You are listed in 4 categories
And it is going to be listed in other big exchang…",0,0,0,FALSE,neutral,neutral
142,13/08/2021,1.43E+18,craig6333,Craig Armstrong,Thank…,0,0,0,FALSE,positive,love
143,13/08/2021,1.43E+18,civiltalker,Dr Michelle Cain,Supply chain issues everywhere (microchips in short supply) at the moment acc…,1,0,0,FALSE,negative,neutral
144,13/08/2021,1.43E+18,Dacryptocpa,pangboy,"Funniest part is that those people will most likely still get exposure to Bitcoin via ETFs, Tesla,…",0,0,0,FALSE,positive,joy
145,13/08/2021,1.43E+18,obama_factss,ya boy,Tesla suck up moment,0,0,0,FALSE,negative,anger
146,13/08/2021,1.43E+18,rogelioferrerjr,RTFjr,Sensible analysis by   ... EV Tesla is the best  ...,0,0,0,FALSE,positive,joy
147,13/08/2021,1.43E+18,ajpbradley,Alan Bradley,Still more responsible than letting your 7 year old control your Tesla on the public highway.,0,0,0,FALSE,negative,anger
148,13/08/2021,1.43E+18,veloszo_,liu,hawking e tesla,0,0,0,FALSE,neutral,neutral
149,13/08/2021,1.43E+18,fiona_webster22,Fiona Webster ??????,I think genius Nikola Tesla would've invented the electric car—if former partner Thomas Edison hadn't of…,1,0,0,FALSE,positive,joy
150,13/08/2021,1.43E+18,coryawhyte,???? Orange you Glad you have a TSLA ????,Fixed it!,0,0,0,FALSE,positive,joy
151,13/08/2021,1.43E+18,GoldmanSachBOT,EquityMarketPredictor,"Tesla, Inc. (TSLA) surprised the market with Q3 result.  J.P. Morgan Chase changed the rating to Hold, as Tesla, In…",0,0,0,FALSE,positive,joy
152,13/08/2021,1.43E+18,trader_redart,TraderX,The Elan of Elon Musk | $TSLAQ $TSLA,0,0,0,FALSE,positive,joy
153,13/08/2021,1.43E+18,olympicsgo,OlympicsgoIND,"""By 2030 it is said to increase by 3-4 times"" lol, wh…",0,0,0,FALSE,positive,joy
154,13/08/2021,1.43E+18,enzaere,Enzaere,"hello dear elon I invested all my money in safemoon and I believe it is a quality coin, you know b…",0,0,0,FALSE,positive,love
155,13/08/2021,1.43E+18,Mrtnvrbst,mrvb,How is a hydrogen car not electric? ??,0,0,0,FALSE,neutral,neutral
156,13/08/2021,1.43E+18,Nairametrics,Nairametrics,Elon Musk is now world’s richest man as Tesla stocks soar to new heights,2,0,0,FALSE,positive,joy
157,13/08/2021,1.43E+18,keith_dorschner,Keith Dorschner,Wheel covers?,1,0,0,FALSE,neutral,neutral
158,13/08/2021,1.43E+18,ChazC318,Black Goku,Screw the compressor on the Tec it ain't make a sound like a Tesla,0,0,0,FALSE,positive,neutral
159,13/08/2021,1.43E+18,H2Ninja,Stormy Thunder,Tesla Model 3 vs Toyota Camry: TRUE OWNERSHIP COST Comparison  via,0,0,0,FALSE,neutral,neutral
160,13/08/2021,1.43E+18,foottrenball,FOOTTRENBALL,"Poor Cultural mind ""Elon Musk"" ignoring where Tesla was born and giving today advantage to people wh…",0,0,0,FALSE,negative,neutral
161,13/08/2021,1.43E+18,Jzaafarani,Joseph Zaafarani,anywhere to buy new Plaid accessories.  site only has older models...#plaid #Tesla,0,0,0,FALSE,neutral,neutral
162,13/08/2021,1.43E+18,rantsofmich,"Pete Bronson, CPA, CA",Pretty much same thing many small to mid company have done in the pas…,1,0,0,FALSE,neutral,neutral
163,13/08/2021,1.43E+18,zGodofThunder,Thor,This is another great video explaining H vs E,0,0,0,FALSE,positive,joy
164,13/08/2021,1.43E+18,stock_slayer,Stock Slayer,$AAZZF A2Z Smart Technologies to Implement A 3 to 1 Share Consolidation to Meet NASDAQ Initial Listing Requirements…,1,0,0,FALSE,neutral,neutral
165,13/08/2021,1.43E+18,Gyk_2000,Gowri Yokesh Kumar S??,"Opportunity don’t come on our way so easily?? so hold the opportunity as much closer ?? 

#musk #mars…",0,0,2,FALSE,neutral,neutral
166,13/08/2021,1.43E+18,BertelSchmitt,BertelSchmitt™ 2x jabbed ??????????,Laughs Off Concern $TSLA German Plant Will Sap Water Supply  via,1,0,1,FALSE,neutral,neutral
167,13/08/2021,1.43E+18,Tesla_Taylor,Tesla Taylor,"Cross-chain Crypto Derivatives Exchange 
$cdz is now live on  #ignition.

Don't forget to check out…",0,0,0,FALSE,positive,joy
168,13/08/2021,1.43E+18,progstah,Will Gill,2-week wait to get my #tesla into a service center so they can “look at it”. $715B company and the closest service is 60 miles away ??,1,0,0,FALSE,negative,anger
169,13/08/2021,1.43E+18,CityIndex_Josh,Josh Warner,"Top US #stocks to watch 

??#Disney beats expectations 

??#KSU may delay takeover vote 

???#Airbnb expects new reven…",1,0,1,FALSE,neutral,neutral
170,13/08/2021,1.43E+18,crtrud,Craig Trudell,This documentary delves into the issue ~8 1/2 minutes in:,0,0,0,FALSE,neutral,neutral
